submercado,nombre,actividad,estado,inicio_operacion
ESOC,EMPRESA DE SERVICIOS PÚBLICOS DEL OCCIDENTE COLOMBIANO,COMERCIALIZACIÓN,OPERACION,2018-11-23
CBNC,COLOMBINA ENERGIA SAS ESP,COMERCIALIZACIÓN,OPERACION,2018-11-19
GALC,GENERADORA ALEJANDRIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-11-01
SFEC,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-10-09
LTEC,LATINOAMERICAN ENERGY S.A.S E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-09-18
PLSC,PLUSENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-08-30
QIEC,QI ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-08-22
CNGD,CEN ENERGY S.A.S. E.S.P.,DISTRIBUCIÓN,OPERACION,2018-07-18
EEAD,ENERGÍA ELÉCTRICA DE LA COSTA ATLÁNTICA S.A.S E.S.P,DISTRIBUCIÓN,OPERACION,2018-07-16
CHSC,CH SAN MIGUEL S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-07-10
EGPC,ENEL GREEN POWER COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-06-27
ECTC,ECOPETROL ENERGÍA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-06-25
ABAC,AURES BAJO S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-06-13
GPEC,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-06-05
ABAG,AURES BAJO S.A.S. E.S.P.,GENERACIÓN,OPERACION,2018-05-18
EEBD,GRUPO ENERGIA BOGOTA SA ESP,DISTRIBUCIÓN,OPERACION,2018-04-06
EEBT,GRUPO ENERGIA BOGOTA SA ESP,TRANSPORTE,OPERACION,2018-04-06
JRDC,JULIA - RD S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-03-15
RTAC,RENOVATIO TRADING AMERICAS S.A.S. E.S.P,COMERCIALIZACIÓN,OPERACION,2018-02-21
ECGC,EMPRESA PRESTADORA DE SERVICIOS ECO LOGICA  S.A.S E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-02-07
SOCG,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,GENERACIÓN,OPERACION,2018-01-23
NTCG,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2018-01-22
NTCC,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2018-01-22
CHCT,CENTRAL HIDROELICTRICA DE CALDAS S.A. E.S.P.,TRANSPORTE,OPERACION,2017-11-30
GCYG,GENERADORA CANTAYÚS S.A.S E.S.P,GENERACIÓN,OPERACION,2017-11-10
TCET,TRANSMISORA COLOMBIANA DE ENERGIA S.A.S. E.S.P.,TRANSPORTE,OPERACION,2017-09-27
CNCC,OPERADOR NACIONAL DE ELECTRICIDAD CENACE,COMERCIALIZACIÓN,OPERACION,2017-08-29
CNCG,OPERADOR NACIONAL DE ELECTRICIDAD CENACE,GENERACIÓN,OPERACION,2017-08-29
GDEG,GENERACIÓN DE ENERGÍA S.A.S. E.S.P.,GENERACIÓN,INACTIVO,2017-07-26
LCSG,LA CASCADA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2017-07-19
GPEG,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,GENERACIÓN,OPERACION,2017-06-16
RPEC,RIOPAILA ENERGÍA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2017-05-25
RPEG,RIOPAILA ENERGÍA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2017-05-25
SOEC,SOUTH32 ENERGY S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2017-04-19
GDCC,GENDECAR S.A E.S.P,COMERCIALIZACIÓN,INACTIVO,2017-04-11
LESC,LINDE ENERGY SERVICES SAS ESP,COMERCIALIZACIÓN,OPERACION,2017-04-04
VPIC,VP INGENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2017-03-09
CAFC,COMERCIALIZADORA DEL CAFE S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2017-03-08
AESC,AGENTE EXPERTO EN SERVICIOS PÚBLICOS S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2017-03-06
BDJG,BIOGAS DOÑA JUANA S.A.S. E.S.P,GENERACIÓN,OPERACION,2017-03-01
MJCC,MARERSA JEK COLOMBIA SAS ESP,COMERCIALIZACIÓN,INACTIVO,2017-02-01
CNRC,COENERSA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2017-01-31
GASC,GENERARCO S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2017-01-24
AMRC,AMERICANA DE ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2017-01-24
TMNG,TERMONORTE S.A.S. E.S.P,GENERACIÓN,OPERACION,2017-01-06
TECD,TRANSPORTADORA ELECTRICA DEL CARIBE S.A.S. E.S.P.,DISTRIBUCIÓN,OPERACION,2016-12-20
DEST,DESARROLLO ELÉCTRICO SURIA S.A.S. E.S.P.,TRANSPORTE,OPERACION,2016-12-20
AMZC,AGUAS DE MANIZALES SA ESP,COMERCIALIZACIÓN,INACTIVO,2016-11-16
EDID,ELECTRIFICADORA DEL CARIBE S.A. E.S.P,DISTRIBUCIÓN,OPERACION,2016-11-15
EDIC,ELECTRIFICADORA DEL CARIBE S.A. E.S.P,COMERCIALIZACIÓN,OPERACION,2016-11-15
CNAD,CONELCA S.A.S. E.S.P.,DISTRIBUCIÓN,OPERACION,2016-08-25
CCGG,CCG ENERGY S.A.S. E.S.P.,GENERACIÓN,OPERACION,2016-08-25
SMTC,SMARTEN S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-08-24
TCIG,TERMOCANDELARIA S.C.A. E.S.P.,GENERACIÓN,OPERACION,2016-07-14
CTSC,COMPAÑIA ENERGETICA DEL TOLIMA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-06-14
CTSD,COMPAÑIA ENERGETICA DEL TOLIMA S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2016-06-14
GALG,GENERADORA ALEJANDRIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2016-05-19
HDTC,HIDROTOLIMA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-04-25
TRUC,TERMO RUBIALES S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-04-04
FREC,FRANCA ENERGIA SA ESP,COMERCIALIZACIÓN,OPERACION,2016-03-31
GLMG,GENERADORA LUZMA S.A. E.S.P.,GENERACIÓN,OPERACION,2016-03-30
EDNG,EDN COLOMBIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2016-03-23
EDNC,EDN COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-03-23
CEEG,CENTRAL HIDROELÉCTRICA EL EDÉN S.A.S. E.S.P.,GENERACIÓN,OPERACION,2016-03-15
INNC,INDUSTRIA DE ENERGÍA COLOMBIANA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-03-10
AMPC,AMPERIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-03-08
AXEG,AXIA ENERGIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2016-02-29
AXEC,AXIA ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2016-02-29
TPRT,TUPROJECT S.A.S E.S.P.,TRANSPORTE,OPERACION,2016-02-01
ACEC,ASELCA COMERCIALIZADORA DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2015-12-29
ACEG,ASELCA COMERCIALIZADORA DE ENERGIA S.A. E.S.P.,GENERACIÓN,INACTIVO,2015-12-29
GCMG,GENERCOMERCIAL S.A.S E.S.P,GENERACIÓN,OPERACION,2015-12-17
TMMG,TERMO MECHERO MORRO S.A.S E.S.P,GENERACIÓN,OPERACION,2015-12-15
TPLC,TERPEL ENERGÍA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2015-11-27
TCDG,TERMOCANDELARIA S.C.A.- E.S.P.,GENERACIÓN,INACTIVO,2015-11-21
GSAG,GENERSA S.A.S. E.S.P..,GENERACIÓN,OPERACION,2015-10-13
HCCC,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P,COMERCIALIZACIÓN,OPERACION,2015-10-05
HCCG,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P,GENERACIÓN,OPERACION,2015-09-16
SAFC,"INVERSIONES, SUMINISTROS  Y SERVICIOS SAFEANA S.A.S. E.S.P.",COMERCIALIZACIÓN,OPERACION,2015-09-07
TERG,TERMOTASAJERO DOS S.A. E.S.P.,GENERACIÓN,OPERACION,2015-08-10
ENGG,ENERGETICA S.A. E.S.P.,GENERACIÓN,OPERACION,2015-06-24
GCMC,GENERCOMERCIAL S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2015-05-05
HDPG,HIDROELECTRICA DEL ALTO PORCE S A S E S P,GENERACIÓN,OPERACION,2015-04-20
RENG,RISARALDA ENERGIA S.A.S. E.S.P.,GENERACIÓN,OPERACION,2015-03-16
TMVG,TERMOVALLE S.A.S. E.S.P.,GENERACIÓN,OPERACION,2015-02-18
CMXG,CEMEX ENERGY S.A.S E.S.P.,GENERACIÓN,OPERACION,2014-10-23
CMXC,CEMEX ENERGY S.A.S E.S.P,COMERCIALIZACIÓN,OPERACION,2014-10-23
SREG,SURENERGY S.A.S. E.S.P.,GENERACIÓN,INACTIVO,2014-10-17
IACG,IAC ENERGY S.A.S. E.S.P.,GENERACIÓN,OPERACION,2014-10-09
HZEG,HZ ENERGY S.A.S. E.S.P.,GENERACIÓN,OPERACION,2014-07-04
ESPC,EMPRESA DE SERVICIOS PUBLICOS DE SANTANDER S.A E.S.P,COMERCIALIZACIÓN,OPERACION,2014-03-26
CTID,EMPRESAS MUNICIPALES DE CARTAGO E.S.P. INTERVENIDA,DISTRIBUCIÓN,OPERACION,2014-03-19
CTIC,EMPRESAS MUNICIPALES DE CARTAGO E.S.P. INTERVENIDA,COMERCIALIZACIÓN,OPERACION,2014-03-18
RQEC,ENERGIA Y AGUA S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2014-02-05
ITCT,INTERCOLOMBIA S.A. E.S.P.,TRANSPORTE,OPERACION,2014-01-01
SCCC,SERVICIOS CONVERGENTES DE COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2013-11-19
GSYC,GENERSYS S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2013-09-05
TEMG,TERMOEMCALI I S.A. E.S.P.,GENERACIÓN,OPERACION,2013-04-08
ENIC,EMPRESA DE ENERGÍA DE ARAUCA E.S.P.  (INTERVENIDA),COMERCIALIZACIÓN,OPERACION,2013-03-21
ENID,EMPRESA DE ENERGÍA DE ARAUCA E.S.P.  (INTERVENIDA),DISTRIBUCIÓN,OPERACION,2013-03-21
MCHC,MC2 HIDROMARMATO S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2013-03-13
ADCG,ENERGIA DEL RIO PIEDRAS S.A. E.S.P.,GENERACIÓN,OPERACION,2013-02-22
CMPC,MUNICIPIO DE CAMPAMENTO,COMERCIALIZACIÓN,INACTIVO,2013-02-01
RENC,RISARALDA ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2013-01-25
GEEC,GENERAMOS ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2012-12-03
GPYG,GENERPUTUMAYO S.A.S. E.S.P.,GENERACIÓN,OPERACION,2012-11-06
ECRC,ENERGÍA CORPORATIVA S.A.S E.S.P,COMERCIALIZACIÓN,INACTIVO,2012-08-29
REDC,RED INK ENERGY E.S.P. S.A.S.,COMERCIALIZACIÓN,INACTIVO,2012-05-30
MCAC,EMPRESA MULTIPROPOSITO DE CALARCA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2012-05-03
CIVG,CELSIA S.A E.S.P.,GENERACIÓN,INACTIVO,2012-04-27
TYPG,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,GENERACIÓN,OPERACION,2012-02-23
TMRG,CENTRAL TERMOELECTRICA EL MORRO 2 S.A.S. E.S.P.,GENERACIÓN,OPERACION,2012-02-21
GSAC,GENERSA S.A.S. E.S.P..,COMERCIALIZACIÓN,OPERACION,2012-01-20
GDIC,GENERADORA COMERCIALIZADORA Y DISTRIBUIDORA DE ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2012-01-18
GPLG,GRUPO POLIOBRAS S.A. E.S.P..,GENERACIÓN,INACTIVO,2012-01-03
SMAC,SMART COMERCIALIZADORA DE ENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2011-12-26
GELG,GRUPO GELEC S.A.S. E.S.P.,GENERACIÓN,INACTIVO,2011-12-03
GELC,GRUPO GELEC S.A.S. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2011-12-03
MPLC,EMPLUS S.A.S. E.S.P,COMERCIALIZACIÓN,INACTIVO,2011-11-08
ITLC,ITALCOL ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2011-11-01
EITG,EPM ITUANGO S.A. E.S.P.,GENERACIÓN,INACTIVO,2011-09-02
HITG,HIDROELÉCTRICA ITUANGO S.A. E.S.P.,GENERACIÓN,INACTIVO,2011-09-02
FFEC,FORCEFUL ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2011-06-09
FERC,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,COMERCIALIZACIÓN,OPERACION,2011-03-22
ISAD,INTERCONEXION ELECTRICA S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,2011-01-31
GEEG,GENERAMOS ENERGIA S.A. E.S.P.,GENERACIÓN,OPERACION,2010-11-23
GNCC,VATIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2010-11-12
GNCG,VATIA S.A. E.S.P.,GENERACIÓN,OPERACION,2010-11-12
HZEC,HZ ENERGY S.A.S. E.S.P,COMERCIALIZACIÓN,OPERACION,2010-11-10
CEOC,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,COMERCIALIZACIÓN,OPERACION,2010-09-01
CEOD,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,DISTRIBUCIÓN,OPERACION,2010-09-01
FACG,ENERMONT S.A. E.S.P.,GENERACIÓN,INACTIVO,2010-08-13
FACC,ENERMONT S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2010-08-13
PEEC,PROFESIONALES EN ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2010-03-04
EFEC,E2 ENERGIA EFICIENTE S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2009-12-01
COLC,COLENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2009-08-26
FICC,FICEA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2009-07-17
DLRG,DICELER S.A. E.S.P.,GENERACIÓN,OPERACION,2009-05-13
CEUD,COMPANIA DE ELECTRICIDAD DEL CAUCA S.A. E.S.P. DISTRIBUIDOR,DISTRIBUCIÓN,INACTIVO,2009-01-08
CEUC,COMPANIA DE ELECTRICIDAD DEL CAUCA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2009-01-08
EJCC,ENERGIA DEL EJE CAFETERO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2008-12-01
ATSC,ATESA SERVICIOS AEROPORTUARIOS S.A. E.S.P,COMERCIALIZACIÓN,INACTIVO,2008-09-03
EMPC,EMSERPUCAR E.S.P.,COMERCIALIZACIÓN,OPERACION,2008-09-01
EMPD,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DEL MUNICIPIO DE CARTAGENA DEL CHAIRA,DISTRIBUCIÓN,INACTIVO,2008-09-01
ERCG,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,GENERACIÓN,OPERACION,2008-02-04
EVIG,ENERVIA S.A. E.S.P.,GENERACIÓN,INACTIVO,2007-09-12
ENDG,EMGESA S.A. E.S.P.,GENERACIÓN,OPERACION,2007-09-01
ENDC,EMGESA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2007-09-01
ENDT,EMGESA S.A. E.S.P.,TRANSPORTE,OPERACION,2007-09-01
PRMC,PROMIELECTRIC S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2007-06-07
CTMG,CENTRAL TERMOELECTRICA EL MORRO 1 S.A. E.S.P.,GENERACIÓN,INACTIVO,2007-04-25
GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2006-12-05
GECG,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,GENERACIÓN,OPERACION,2006-12-05
SNGC,SENERGY S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2006-11-24
ETAD,"ENERGIA, TELECOMUNICACIONES, ASEO Y ACUEDUCTO S.A. E.S.P.",DISTRIBUCIÓN,INACTIVO,2006-08-01
ETAC,"ENERGIA, TELECOMUNICACIONES, ASEO Y ACUEDUCTO S.A. E.S.P.",COMERCIALIZACIÓN,INACTIVO,2006-08-01
EDMC,ELECTRICARIBE MIPYMES DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2006-07-16
ECMC,ELECTROCOSTA MIPYMES DE ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2006-07-12
IEEC,INSTITUTO COLOMBIANO DE ENERGIA ELECTRICA,COMERCIALIZACIÓN,INACTIVO,2005-12-20
EVIC,ENERVIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2005-12-15
CTMC,CENTRAL TERMOELECTRICA EL MORRO 1 S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2005-12-05
ARMC,ASOCIADOS DE RECURSOS MERCANTILES S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2005-11-04
ETTC,ENERTOTAL S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2005-10-31
GNIG,GENERAR S.A. E.S.P.  (REESTRUCTURADO),GENERACIÓN,INACTIVO,2005-10-29
NEGC,NUEVAS ENERGIAS S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2005-10-20
CCOC,ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2005-10-11
CASD,EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P.,DISTRIBUCIÓN,OPERACION,2005-02-04
CASC,EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2005-02-04
CENC,COMERCIALIZADORA ENERGETICA NACIONAL COLOMBIANA - CENCOL S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2004-12-23
CONC,COMERCIALIZADORA DE ENERGIA DEL CENTRO S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2004-12-06
ASTC,SISTEMA DE TRANSMISION NACIONAL,COMERCIALIZACIÓN,OPERACION,2004-11-05
EEGD,EMPRESA DE ENERGIA VALLE DEL GUAMUEZ S.A. E.S.P.,DISTRIBUCIÓN,INACTIVO,2004-08-12
HIMC,GESTION ENERGETICA S.A. E.S.P.,COMERCIALIZACIÓN,OPERACION,2004-04-07
HIMG,GESTION ENERGETICA S.A. E.S.P.,GENERACIÓN,OPERACION,2004-04-07
ESCC,ENERGIA SOCIAL DE LA COSTA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2003-12-02
TYPC,TERMOYOPAL GENERACION 2 S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2003-11-09
CDCC,COMERCIALIZADORA ELECTRICA DE COLOMBIA S.A. E.S.P.,COMERCIALIZACIÓN,INACTIVO,2003-09-23
TLLD,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (LIQUIDACIÓN),DISTRIBUCIÓN,INACTIVO,2003-08-13
TLLG,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (LIQUIDACIÓN),GENERACIÓN,INACTIVO,2003-08-13
TLLC,ELECTRIFICADORA DEL TOLIMA S.A. E.S.P.  (LIQUIDACIÓN),COMERCIALIZACIÓN,INACTIVO,2003-08-13
